CutOff,Modulus,VTR,Bio,xval,Line
1100,5 MPa,0.014585369,1.168709372,1300,3900
1100,5 MPa,0.012306405,0.503091704,1400,4200
1100,5 MPa,0.047844923,1.428070269,1500,4500
1200,5 MPa,0.022003156,0.980717275,0,5
1200,5 MPa,0.027709278,0.835864567,100,5
1200,5 MPa,0.015531071,0.718740963,200,5
1200,5 MPa,0.021044726,0.518337193,300,5
1200,5 MPa,0.020402146,0.897925849,400,5
1200,5 MPa,0.022509102,0.858924988,500,5
1200,5 MPa,0.018875544,0.682320853,600,5
1200,5 MPa,0.021426853,0.883173828,700,5
1200,5 MPa,0.021363879,0.828771789,800,5
1200,5 MPa,0.013145479,0.274395838,900,5
1200,5 MPa,0.01645424,1.023727182,1000,5
1200,5 MPa,0.03829899,1.193887301,1100,5
1200,5 MPa,0.007318505,0.734803487,1200,5
1200,5 MPa,0.010179052,0.995180818,1200,3600
1200,5 MPa,0.011604346,1.168709372,1300,3900
1200,5 MPa,0.010791812,0.503091704,1400,4200
1200,5 MPa,0.032947208,1.428070269,1500,4500
1300,5 MPa,0.004835376,0.980717275,0,5
1300,5 MPa,0.009225168,0.835864567,100,5
1300,5 MPa,0.007847043,0.718740963,200,5
1300,5 MPa,0.001983878,0.518337193,300,5
1300,5 MPa,0.002141349,0.897925849,400,5
1300,5 MPa,0.001977004,0.858924988,500,5
1300,5 MPa,0.002373268,0.682320853,600,5
1300,5 MPa,0.002877535,0.883173828,700,5
1300,5 MPa,0.002067206,0.828771789,800,5
1300,5 MPa,0.002756048,0.274395838,900,5
1300,5 MPa,0.001397819,1.023727182,1000,5
1300,5 MPa,0.003919129,1.193887301,1100,5
1300,5 MPa,0.001625399,0.734803487,1200,5
1300,5 MPa,0.003087208,0.995180818,1300,5
1300,5 MPa,0.001719047,1.168709372,1300,3900
1300,5 MPa,0.001917305,0.503091704,1400,4200
1300,5 MPa,0.002506216,1.428070269,1500,4500
1400,5 MPa,0.000595373,0.980717275,0,5
1400,5 MPa,0.000644844,0.835864567,100,5
1400,5 MPa,0.000563071,0.718740963,200,5
1400,5 MPa,0.000649482,0.518337193,300,5
1400,5 MPa,0.000639747,0.897925849,400,5
